Date,Close,High,Low,Open,Volume
2025-03-11,2916.09,2922.14,2880.31,2888.83,102430
2025-03-12,2933.29,2940.41,2906.15,2915.67,101281
2025-03-13,2989.02,2989.06,2932.91,2934.11,102639
2025-03-14,2986.4,3004.92,2978.48,2989.24,103310
2025-03-17,3001.46,3001.87,2982.22,2984.84,89076
2025-03-18,3034.09,3038.26,2999.4,3001.17,96795
2025-03-19,3047.27,3051.91,3022.8,3033.9,96748
2025-03-20,3044.65,3057.42,3025.71,3047.97,102287
2025-03-21,3023.16,3047.43,2999.48,3044.58,96702
2025-03-24,3011.82,3033.25,3002.47,3021.42,100815
2025-03-25,3020.35,3035.85,3007.56,3011.63,86977
2025-03-26,3018.97,3032.04,3012.35,3019.4,92195
2025-03-27,3056.74,3059.57,3017.62,3019.38,103439
2025-03-28,3084.57,3086.77,3054.2,3056.58,100741
2025-03-31,3124.08,3127.97,3076.79,3086.35,110929
2025-04-01,3114.27,3148.94,3100.8,3122.99,106923
2025-04-02,3133.57,3143.33,3105.21,3113.81,100786
2025-04-03,3113.32,3167.62,3054.26,3142.26,141362
2025-04-04,3038.43,3136.62,3016.0,3114.55,133511
2025-04-07,2982.68,3055.45,2956.62,3007.69,148484
2025-04-08,2982.36,3022.62,2974.73,2983.17,119086
2025-04-09,3082.92,3099.47,2970.03,2983.49,139988
2025-04-10,3175.78,3176.26,3071.4,3083.54,130156
2025-04-11,3237.57,3245.38,3175.72,3175.73,132748
2025-04-14,3210.37,3245.73,3193.73,3227.27,113943
2025-04-15,3229.8,3233.59,3210.06,3211.19,87854
2025-04-16,3342.27,3342.4,3229.81,3231.15,121899
2025-04-17,3327.49,3357.72,3284.0,3343.14,114943
2025-04-21,3424.68,3430.44,3329.16,3332.1,117310
2025-04-22,3381.29,3500.01,3366.86,3424.08,140834
2025-04-23,3288.35,3386.64,3260.22,3353.69,134457
2025-04-24,3349.39,3367.58,3288.43,3288.51,231241
2025-04-25,3319.03,3370.72,3265.05,3350.43,241222
2025-04-28,3344.18,3353.01,3267.95,3325.14,213432
2025-04-29,3317.23,3348.62,3299.63,3344.7,191701
