Close,High,Low,Open,Volume,MA_3,MA_15,stoch_k,stoch_d,RSI_14,ATR_14,SR_min,SR_max,dist_to_support,dist_to_resistance,support_touches,resistance_touches,strong_support,strong_resistance,sr_zone,ma_cross,rsi_zone,log_return,target
-1.0884720716664757,-1.0918543978405209,-1.130939910124284,-1.1605161817416998,0.2956548918225933,-1.145080313832992,-1.0510941044709883,0.7509589265983753,-0.21234081576754726,-0.6676560532891408,-0.5101620469979736,3177.33,3433.37,0.05588339895446805,0.02285800831253259,1,2,False,False,NONE,1,sideway,0.5821561429750898,-0.45406602580937333
-1.1247300287620912,-1.0727025721630847,-1.0675512512336862,-1.0361529857323648,0.2528766078277638,-1.1138360176501807,-1.0567322175455245,0.2968797114186439,0.17748357475124701,-0.8194149113249779,-0.5565279956269059,3177.33,3433.37,0.05223568216080805,0.026233700416791583,1,2,False,False,NONE,0,sideway,-0.45406602580937333,-0.6247168232541611
-1.1827302465837244,-1.0988186980868617,-1.1360848793162366,-1.0984910547939135,0.23139475747494226,-1.1128927145114826,-1.0563304361231576,-0.2146350093109365,0.29661959832210033,-1.0555277661154587,-0.56316286480161,3177.33,3433.37,0.046400594209603754,0.03163364274750454,1,2,False,False,NONE,0,sideway,-0.6247168232541611,0.3778222246001775
-1.1119975106103097,-1.0659484016655565,-1.137898810762118,-1.1608604180668378,0.2683138734080651,-1.1207745362925878,-1.0529822576034271,0.3612601466989873,0.15713218404210205,-0.7676797160035086,-0.5346531939897431,3177.33,3433.37,0.0535166318890389,0.025048276183458236,1,2,False,False,NONE,0,sideway,0.3778222246001775,-0.3755727566795369
-1.1380882234815288,-1.1412048702757944,-1.1703187127857693,-1.086223723934412,0.20407492954164985,-1.1252499856284024,-1.0504859435201919,0.13512881740509855,0.09923563643358096,-0.8798953352571803,-0.5541260378340789,3177.33,3433.37,0.05089178649998592,0.027477376455202818,1,2,False,False,NONE,0,sideway,-0.3755727566795369,0.10188467977787871
-1.1027062135806298,-1.1140681141435032,-1.097794435522281,-1.1053444870853188,0.17574590493950115,-1.0984392141974624,-1.0338350675243708,0.16589590368570586,0.2354415365937315,-0.7313118502245979,-0.6112500980730898,3177.33,3433.37,0.054451378988018315,0.024183236878052686,1,2,False,False,NONE,0,sideway,0.10188467977787871,0.9490248269396628
-0.9569861409737432,-0.9930633973633409,-1.0544909448233444,-1.0805594716753055,0.2362685681591829,-1.046505135839249,-1.013188332573852,1.0344788762266446,0.4764110871038027,-0.19472025772199403,-0.5823506098383765,3177.33,3433.37,0.06911148668850896,0.010616391475430793,1,2,False,False,NONE,0,sideway,0.9490248269396628,0.6519885712291147
-0.8485563917991045,-0.8972142133695277,-0.9280764133313238,-0.9334453839954169,0.255816787099235,-0.9495021297433344,-0.9928336027007973,1.1269542063591538,0.831421587670864,0.13057574709175082,-0.574810324925263,3177.33,3433.37,0.08002001680656401,0.0005213536554463876,1,3,False,True,RESISTANCE,0,neutral,0.6519885712291147,-1.2341717853880103
-0.9878632795875251,-0.8805839446778359,-0.9340788773886012,-0.8237591731215571,0.3220290945307368,-0.9110258428305207,-0.9862206756834683,-0.004695019509945869,0.7703608710262214,-0.4953527456429311,-0.5456194345053832,3202.02,3433.37,0.057785397967533056,0.013491118056020676,1,3,False,True,RESISTANCE,0,sideway,-1.2341717853880103,-0.6207941610016837
-1.0461137680362216,-1.017678596509888,-1.0334163594793842,-0.9611407610634238,0.26802250429107244,-0.940886627743244,-0.9768721221510025,-0.4260823609948471,0.24757270517612598,-0.7268909196117899,-0.5653943166273546,3202.02,3433.37,0.05197031873629767,0.018914361108764873,1,3,False,True,RESISTANCE,0,sideway,-0.6207941610016837,-0.9436059596509716
-1.145596342293391,-1.0773854637080376,-1.1201222825924866,-1.0239482432956155,0.2127603780381852,-1.0404051088756807,-0.9769028595275788,-1.1457449527896644,-0.5659092596066252,-1.09191500893998,-0.5644617530072067,3230.07,3433.37,0.032989997120805414,0.02817639811613656,2,3,False,True,RESISTANCE,0,sideway,-0.9436059596509716,-0.7152988875211932
-1.2150464413031148,-1.1617675671238246,-1.1970659564695758,-1.175975522161582,0.24366669492064164,-1.116519191022471,-0.9816781305311255,-1.6481509130992642,-1.154162097193603,-1.3247572063635502,-0.5780067199639405,3274.5,3433.37,0.012194228126431466,0.03464234847977354,1,3,False,True,RESISTANCE,-1,sideway,-0.7152988875211932,0.12102101549821373
-1.1774745634154216,-1.1956284752181003,-1.1762222351278178,-1.1885557951348462,0.2621103600262762,-1.1605295230156356,-0.9762112685546495,-1.7297122910457514,-1.6207788214434533,-1.1738593736128073,-0.6436453132263499,3274.5,3433.37,0.015861963658573845,0.03114432758485099,1,3,False,True,RESISTANCE,0,sideway,0.12102101549821373,-1.442180208395783
-1.3387739825569218,-1.1958386049669114,-1.308243463816198,-1.1530055710113924,0.3223654934203556,-1.2252505994761738,-0.9846881979085371,-2.2251748482032783,-2.0071461717509065,-1.6790419148227682,-0.584122565492589,3274.5,3433.37,0.0001160482516415053,0.046161642933910355,2,3,False,True,RESISTANCE,0,sideway,-1.442180208395783,0.19992687826170655
-1.2916605370124883,-1.2534141561413978,-1.2905658773617954,-1.3075050925760834,0.29890498188213854,-1.2509189259946933,-0.9921354251471751,-1.9135542364947513,-2.102143706337267,-1.4840477433625716,-0.6028355324617916,3274.5,3433.37,0.0047152236982745625,0.041775282011551285,2,3,False,True,RESISTANCE,0,sideway,0.19992687826170655,1.6040660637438526
